id,sport,brand,name,sku,current_url
rawlings-pro204sb-2cc-fastpitch,fastpitch,Rawlings,"Rawlings Heart of the Hide 11.5"" Fastpitch Softball Glove: PRO204SB-2CC",pro204sb-2cc,https://www.justballgloves.com/product/rawlings-heart-of-the-hide-11-5--fastpitch-softball-glove--pro204sb-2cc/?rfsn=9019128.19c2ec
rawlings-pro715sb-6gp-fastpitch,fastpitch,Rawlings,"Rawlings Heart of the Hide 11.75"" Fastpitch Softball Glove: PRO715SB-6GP",pro715sb-6gp,https://www.justballgloves.com/product/rawlings-heart-of-the-hide-11-75--fastpitch-softball-glove--pro715sb-6gp/?rfsn=9019128.19c2ec
rawlings-pro715sb-6n-fastpitch,fastpitch,Rawlings,"Rawlings Heart of the Hide 11.75"" Fastpitch Softball Glove: PRO715SB-6N",pro715sb-6n,https://www.justballgloves.com/product/rawlings-heart-of-the-hide-11-75--fastpitch-softball-glove--pro715sb-6n/?rfsn=9019128.19c2ec
rawlings-rla115-3w-fastpitch,fastpitch,Rawlings,"Rawlings Liberty Advanced 11.50"" Fastpitch Softball Glove: RLA115-3W",rla115-3w,https://www.justballgloves.com/product/rawlings-liberty-advanced-11-50--fastpitch-softball-glove--rla115-3w/?rfsn=9019128.19c2ec
rawlings-rla715-32g-fastpitch,fastpitch,Rawlings,"Rawlings Liberty Advanced 11.75"" Fastpitch Softball Glove: RLA715-32G",rla715-32g,https://www.justballgloves.com/product/rawlings-liberty-advanced-11-75--fastpitch-softball-glove--rla715-32g/?rfsn=9019128.19c2ec
rawlings-rla115-3wwp-fastpitch,fastpitch,Rawlings,"Rawlings Liberty Advanced Color Series 4.0 11.5"" Fastpitch Softball Glove: RLA115-3WWP",rla115-3wwp,https://www.justballgloves.com/product/rawlings-liberty-advanced-color-series-4-0-11-5--fastpitch-softball-glove--rla115-3wwp/?rfsn=9019128.19c2ec
rawlings-rla715-32gcb-fastpitch,fastpitch,Rawlings,"Rawlings Liberty Advanced Color Series 4.0 11.75"" Fastpitch Softball Glove: RLA715-32GCB",rla715-32gcb,https://www.justballgloves.com/product/rawlings-liberty-advanced-color-series-4-0-11-75--fastpitch-softball-glove--rla715-32gcb/?rfsn=9019128.19c2ec
rawlings-rla715sb-2gcb-fastpitch,fastpitch,Rawlings,"Rawlings Liberty Advanced Color Series 4.0 11.75"" Fastpitch Softball Glove: RLA715SB-2GCB",rla715sb-2gcb,https://www.justballgloves.com/product/rawlings-liberty-advanced-color-series-4-0-11-75--fastpitch-softball-glove--rla715sb-2gcb/?rfsn=9019128.19c2ec
rawlings-rr9sb715-2b-fastpitch,fastpitch,Rawlings,"Rawlings R9 11.75"" Fastpitch Softball Glove: RR9SB715-2B",rr9sb715-2b,https://www.justballgloves.com/product/rawlings-r9-11-75--fastpitch-softball-glove--rr9sb715-2b/?rfsn=9019128.19c2ec
rawlings-rr9sb115u-31gb-fastpitch,fastpitch,Rawlings,"Rawlings R9 Contour 11.5"" Fastpitch Softball Glove: RR9SB115U-31GB",rr9sb115u-31gb,https://www.justballgloves.com/product/rawlings-r9-contour-11-5--fastpitch-softball-glove--rr9sb115u-31gb/?rfsn=9019128.19c2ec
